Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0166253339882948,0.00449694012365636,-0.0600806123133589,0,0,0,0.946938752885199,0.00176329020490228,0.000488969107861777,6.92363021198855E-05,0.00247416956927201,2.51160805375851E-05,0.00401929869001172,0,0,0,0,0,0,package://UR3e_Master_Device/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://UR3e_Master_Device/meshes/base_link.STL,,"base_plate-1;base-1;NSK_6815-1;C-E6905ZZ-1;XM,H-430_idler.stp-6;ROBOTIS_U2D2_Power_Hub_Board.stp-2;u2d2-2",Co-1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L1,-0.0288185707034421,-1.6817073356587E-06,0.00880864688358335,0,0,0,0.248834423527377,0.000254453408030834,5.81577274943217E-08,1.90204715476703E-05,0.00029997249275234,-1.97434976439709E-08,0.000309238110444472,0,0,0,0,0,0,package://UR3e_Master_Device/meshes/L1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://UR3e_Master_Device/meshes/L1.STL,,"base_shaft-1;motor_2_housing-1;XM,H-430_idler.stp-10;link2_sup-3;C_E6810ZZ-1",Co-1,Axis-1,J1,revolute,0,0,0,0,0,0,base_link,0,0,1,50,10,-3.14,3.14,,,,,,,,
L2,-5.30567840631088E-06,-0.0668459118121905,0.0954764726937587,0,0,0,0.332602563675347,0.000284921644195344,-9.27547858376867E-09,-6.96965180708605E-08,0.000143667835545385,2.26210666025928E-05,0.000230200223059145,0,0,0,0,0,0,package://UR3e_Master_Device/meshes/L2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://UR3e_Master_Device/meshes/L2.STL,,"motor_2_braket-3;link_2_elbow.1-1;link_2_upper_arm-1;motor_3_housing-1;line_guide-4;line_guide-2;XM,H-430_idler.stp-8;C-SE6704ZZ.stp-1",Co-2,Axis-2,J2,revolute,0.0189999999999999,0,0.05305,-1.5707963267949,0,1.5707963267949,L1,0,0,-1,50,10,-3.14,3.14,,,,,,,,
L3,0.0738930088555916,-7.30306510614911E-05,0.0720704486633671,0,0,0,0.252374468137062,0.000122794178748546,-1.09414914352256E-07,-1.00667008975913E-05,0.000246290490802377,-7.37219411483898E-07,0.000189040237390023,0,0,0,0,0,0,package://UR3e_Master_Device/meshes/L3.STL,0.435294117647059,0.717647058823529,1,1,0,0,0,0,0,0,package://UR3e_Master_Device/meshes/L3.STL,,"3to4-1;link_4_upper_arm.1-1;motor_3_housing-2;XM,H-430_idler.stp-11;C-E6704ZZ1-1",Co-3,Axis-3,J3,revolute,0,-0.184800000000004,0.0979,3.14159265358979,0,-1.5707963267949,L2,0,0,1,50,10,-3.14,3.14,,,,,,,,
L4,-0.000269195098212494,-7.00946503244537E-05,0.030790696992483,0,0,0,0.0640272941092606,1.77845103192271E-05,2.13231974753562E-13,-1.60165502134492E-09,1.71957800606779E-05,-5.24396592233277E-15,1.24379604108842E-05,0,0,0,0,0,0,package://UR3e_Master_Device/meshes/L4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://UR3e_Master_Device/meshes/L4.STL,,"link_4-1;XM,H-430_idler.stp-12",Co-4,Axis-4,J4,revolute,0.164929999999995,0,0.0607500000000001,-3.14159265358979,0,-3.14159265358979,L3,0,0,1,50,10,-3.14,3.14,,,,,,,,
L5,-0.000275652809283627,-7.17761482512749E-05,0.0253853917519625,0,0,0,0.0625273283844539,1.75560392484464E-05,1.69055779530118E-12,-1.60165502137006E-09,1.68668273907939E-05,-5.2442251920535E-15,1.20267340837592E-05,0,0,0,0,0,0,package://UR3e_Master_Device/meshes/L5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://UR3e_Master_Device/meshes/L5.STL,,"XM,H-430_idler.stp-13;link_6-1",Co-5,Axis-5,J5,revolute,-0.019,-0.000100000000000024,0.048,3.14159265358979,1.5707963267949,0,L4,0,0,1,50,10,-3.14,3.14,,,,,,,,
L6,0.0178726339107397,1.10571523227396E-06,0.0381797988612935,0,0,0,0.0102439007985795,9.19802028619916E-06,-1.0858314059843E-10,-4.58086518567347E-06,1.15658279502547E-05,-1.07204104227685E-10,3.47966694616601E-06,0,0,0,0,0,0,package://UR3e_Master_Device/meshes/L6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://UR3e_Master_Device/meshes/L6.STL,,handle-1,Co-6,Axis-6,J6,revolute,-0.019,-0.0001,0.04145,3.1416,1.5708,0,L5,0,0,1,50,10,-3.14,3.14,,,,,,,,
